,a,b,c,d,rating,N
1,21,9,0,30,68,60
2,24,6,10,20,64,60
3,27,3,20,10,55,60
4,28,0,0,28,96,56
5,28,0,7,21,87,56
6,28,0,14,14,78,56
7,28,0,21,7,34,56
8,30,0,18,12,65,60
9,24,6,12,18,54,60
10,12,18,0,30,38,60
11,27,3,25,5,34,60
