,a,b,c,d,rating,N
1,1,1,12,28,11.5,42
2,1,0,24,24,11.1,49
3,1,0,19,78,11.8,98
4,3,1,6,5,39,15
5,3,1,6,18,31.2,28
6,1,0,3,12,29.4,16
7,12,3,3,2,64.1,20
8,12,3,3,7,69.2,25
9,9,1,3,27,75.6,40
