,a,b,c,d,rating,N
1,12,0,6,6,67.6,24
2,10,2,4,8,48.1,24
3,9,3,0,12,59.2,24
4,6,6,0,12,20.8,24
5,4,8,4,8,-12.3,24
6,8,4,8,4,10.8,24
