,a,b,c,d,rating,N
1,30,15,0,45,63,90
2,36,9,18,27,55,90
3,18,27,0,45,41,90
4,32,8,4,36,82,80
5,36,4,22,18,63,80
6,14,26,0,40,49,80
7,20,20,20,20,32,80
