,a,b,c,d,rating,N
1,2,8,1,4,18.15,15
2,1,4,2,8,17.25,15
3,5,5,1,4,45.15,15
4,2,2,2,8,38.15,14
5,4,4,2,2,41.05,12
6,2,2,4,4,35.75,12
7,8,2,1,4,75.9,15
8,4,1,2,8,69.2,15
9,8,2,2,2,69.75,14
10,4,1,5,5,55,15
11,8,2,4,1,63.75,15
12,4,1,8,2,41.05,15
