,a,b,c,d,rating,N
1,8,0,0,8,88.54,16
2,8,0,2,6,76.54,16
3,6,2,0,8,69.02,16
4,8,0,4,4,70.85,16
5,6,2,2,6,54.02,16
6,4,4,0,8,57,16
7,8,0,6,2,57.62,16
8,6,2,4,4,47.06,16
9,4,4,2,6,45.71,16
10,2,6,0,8,33.69,16
11,6,2,6,2,42.62,16
12,4,4,4,4,36.6,16
13,2,6,2,6,28.62,16
